,country,count
0,Italy,19540
1,Portugal,5691
2,US,54504
3,Spain,6645
4,France,22093
5,Germany,2165
6,Argentina,3800
7,Chile,4472
8,Australia,2329
9,Austria,3345
10,South Africa,1401
11,New Zealand,1419
12,Israel,505
13,Hungary,146
14,Greece,466
15,Romania,120
16,Mexico,70
17,Canada,257
18,,0
19,Turkey,90
20,Czech Republic,12
21,Slovenia,87
22,Luxembourg,6
23,Croatia,73
24,Georgia,86
25,Uruguay,109
26,England,74
27,Lebanon,35
28,Serbia,12
29,Brazil,52
30,Moldova,59
31,Morocco,28
32,Peru,16
33,India,9
34,Bulgaria,141
35,Cyprus,11
36,Armenia,2
37,Switzerland,7
38,Bosnia and Herzegovina,2
39,Ukraine,14
40,Slovakia,1
41,Macedonia,12
42,China,1
43,Egypt,1
